StrainIndex  Lineage  Cluster  Name
297          2        3        SRR11004177
298          2        3        SRR11004178
299          2        3        SRR11004179
300          2        4        SRR11004180
301          2        4        SRR11004181
302          2        3        SRR11004182
303          2        4        SRR11004183
304          2        3        SRR11004184
305          2        3        SRR11004185
306          2        3        SRR11004186
307          2        3        SRR11004187
308          2        3        SRR11004188
309          2        4        SRR11004189
310          1        2        SRR11004190
311          2        4        SRR11004191
312          2        3        SRR11004192
313          2        4        SRR11004193
314          2        3        SRR11004194
315          2        4        SRR11004195
316          2        3        SRR11004196
317          2        4        SRR11004197
318          2        3        SRR11004198
319          2        4        SRR11004199
320          2        3        SRR11004200
321          2        3        SRR11004201
322          2        3        SRR11004202
323          2        3        SRR11004203
324          2        3        SRR11004204
325          2        3        SRR11004205
326          2        3        SRR11004206
327          2        4        SRR11004207
328          2        3        SRR11004208
329          2        3        SRR11004209
330          2        3        SRR11004210
331          2        3        SRR11004211
332          2        3        SRR11004212
333          1        2        SRR11004213
334          1        2        SRR11004214
335          1        2        SRR11004215
336          1        2        SRR11004216
337          2        4        SRR11004217
338          2        4        SRR11004218
339          2        3        SRR11004219
340          2        3        SRR11004220
341          2        3        SRR11004221
342          2        3        SRR11004222
343          2        4        SRR11004223
344          2        3        SRR11004224
345          2        4        SRR11004225
346          2        4        SRR11004226
347          2        3        SRR11004227
348          2        3        SRR11004228
349          2        3        SRR11004229
350          2        4        SRR11004230
351          2        3        SRR11004231
352          2        4        SRR11004232
353          1        2        SRR11004233
354          2        3        SRR11004234
355          2        3        SRR11004235
356          2        3        SRR11004236
357          2        3        SRR11004237
358          2        3        SRR11004238
359          2        4        SRR11004239
360          2        3        SRR11004240
361          2        4        SRR11004241
362          2        3        SRR11004243
363          2        4        SRR11004244
364          2        4        SRR11004245
365          2        3        SRR11004246
366          2        3        SRR11004247
367          2        3        SRR11004248
368          2        3        SRR11004249
369          2        3        SRR11004250
370          2        3        SRR11004251
371          2        3        SRR11004252
372          2        3        SRR11004253
373          2        3        SRR11004254
374          1        2        SRR11004255
375          2        4        SRR11004256
376          2        3        SRR11004257
377          2        4        SRR11004258
378          2        3        SRR11004259
379          2        3        SRR11004260
380          1        1        SRR11004261
381          2        4        SRR11004262
382          2        3        SRR11004263
383          2        3        SRR11004264
384          2        4        SRR11004265
385          2        4        SRR11004266
386          2        3        SRR11004267
387          2        3        SRR11004268
388          2        4        SRR11004269
389          1        2        SRR11004270
390          2        4        SRR11004271
391          1        2        SRR11004272
392          1        2        SRR11004273
393          1        2        SRR11004274
394          1        2        SRR11004275
395          2        3        SRR11004276
396          2        3        SRR11004277
397          1        2        SRR11004278
398          2        4        SRR11004279
399          1        2        SRR11004280
400          2        4        SRR11004281
401          2        4        SRR11004282
402          1        2        SRR11004283
403          2        4        SRR11004284
404          1        2        SRR11004285
405          2        3        SRR11004286
406          2        3        SRR11004287
407          2        3        SRR11004288
408          1        2        SRR11004289
409          1        2        SRR11004290
410          2        4        SRR11004291
411          1        2        SRR11004292
412          2        4        SRR11004293
413          2        4        SRR11004294
414          1        2        SRR11004295
415          1        2        SRR11004296
416          2        4        SRR11004297
417          2        4        SRR11004298
418          2        3        SRR11004299
419          2        3        SRR11004300
420          2        4        SRR11004301
421          1        2        SRR11004302
422          2        4        SRR11004303
423          2        4        SRR11004304
424          2        4        SRR11004305
425          2        4        SRR11004306
426          1        2        SRR11004307
427          1        2        SRR11004308
428          2        4        SRR11004309
429          1        2        SRR11004310
430          2        4        SRR11004311
431          2        4        SRR11004312
432          2        4        SRR11004313
433          2        4        SRR11004314
434          2        4        SRR11004315
435          2        3        SRR11004316
436          1        2        SRR11004317
437          2        4        SRR11004318
438          1        2        SRR11004319
439          2        4        SRR11004320
440          2        3        SRR11004321
441          2        4        SRR11004322
442          2        4        SRR11004323
443          2        4        SRR11004324
444          2        4        SRR11004325
445          2        4        SRR11004326
446          2        4        SRR11004327
447          2        4        SRR11004328
448          2        4        SRR11004329
449          2        4        SRR11004330
450          2        4        SRR11004331
451          2        3        SRR11004332
452          1        2        SRR11004333
453          2        4        SRR11004334
454          1        2        SRR11004335
455          1        2        SRR11004336
456          1        2        SRR11004337
457          2        4        SRR11004338
458          1        2        SRR11004339
459          2        3        SRR11004340
460          1        2        SRR11004341
461          1        2        SRR11004342
462          2        4        SRR11004343
463          1        2        SRR11004344
464          1        2        SRR11004346
465          2        4        SRR11004347
466          2        4        SRR11004348
467          2        3        SRR11004349
468          2        3        SRR11004350
469          1        2        SRR11004351
470          2        4        SRR11004352
471          1        2        SRR11004353
472          2        4        SRR11004354
473          1        2        SRR11004355
474          1        2        SRR11004356
475          1        2        SRR11004357
476          2        3        SRR11004358
477          2        3        SRR11004359
478          1        2        SRR11004360
479          2        4        SRR11004361
480          2        4        SRR11004362
481          1        2        SRR11004363
482          1        2        SRR11004364
483          2        3        SRR11004365
484          1        2        SRR11004366
485          2        4        SRR11004367
486          2        3        SRR11004368
487          1        2        SRR11004369
488          1        2        SRR11004370
489          1        2        SRR11004371
490          2        4        SRR11004372
491          2        4        SRR11004373
492          1        2        SRR11004374
493          1        2        SRR11004375
494          2        3        SRR11004376
495          2        4        SRR11004377
496          1        2        SRR11004378
497          2        3        SRR11004379
498          1        2        SRR11004380
499          2        3        SRR11004381
500          2        4        SRR11004382
501          2        4        SRR11004383
502          2        3        SRR11004384
503          2        4        SRR11004385
504          2        4        SRR11004386
505          2        4        SRR11004387
506          2        3        SRR11004388
507          1        2        SRR11004389
508          2        4        SRR11004390
509          2        4        SRR11004391
510          2        4        SRR11004392
511          1        2        SRR11004393
512          2        3        SRR11004394
513          2        4        SRR11004395
514          2        3        SRR11004396
515          2        4        SRR11004397
516          2        4        SRR11004398
517          2        4        SRR11004399
518          1        2        SRR11004400
519          2        4        SRR11004401
520          1        2        SRR11004402
521          2        3        SRR11004403
522          2        4        SRR11004404
523          2        4        SRR11004405
524          2        3        SRR11004406
525          1        2        SRR11004407
526          1        2        SRR11004408
527          2        4        SRR11004409
528          2        4        SRR11004410
529          2        4        SRR11004411
530          2        4        SRR11004412
531          2        4        SRR11004413
532          1        2        SRR11004414
533          2        4        SRR11004415
534          2        4        SRR11004416
535          2        3        SRR11004417
536          1        2        SRR11004418
537          1        2        SRR11004419
538          2        4        SRR11004420
539          2        3        SRR11004421
540          2        4        SRR11004422
541          2        3        SRR11004423
542          2        3        SRR11004424
543          1        2        SRR11004425
544          2        4        SRR11004426
545          2        4        SRR11004427
546          2        4        SRR11004428
547          1        2        SRR11004429
548          1        2        SRR11004430
549          1        2        SRR11004431
550          2        3        SRR11004432
551          1        2        SRR11004433
552          2        4        SRR11004434
553          2        3        SRR11004435
554          2        3        SRR11004436
555          1        2        SRR11004437
556          2        3        SRR11004438
557          1        2        SRR11004439
558          1        2        SRR11004440
559          2        4        SRR11004441
560          1        2        SRR11004442
561          2        4        SRR11004443
562          1        2        SRR11004444
563          1        2        SRR11004445
564          1        2        SRR11004446
565          1        2        SRR11004447
566          2        4        SRR11004448
567          1        2        SRR11004449
568          1        2        SRR11004450
569          2        3        SRR11004451
570          1        2        SRR11004452
571          1        2        SRR11004453
572          2        4        SRR11004454
573          1        2        SRR11004455
574          1        2        SRR11004456
575          1        2        SRR11004457
576          2        4        SRR11004458
577          2        4        SRR11004459
578          2        4        SRR11004460
579          1        2        SRR11004461
